timestamp,open,high,low,close,volume,open_interest,trading_symbol,hl2,supertrend_ST_daily_sma5,direction_ST_daily_sma5,upperBand_ST_daily_sma5,lowerBand_ST_daily_sma5,dist_close_ST_daily_sma5,dist_avg_hl2_ST_daily_sma5,avg_hl2_last3,flatbase_ST_daily_sma5,state_prev_supertrend_ST_daily_sma5,state_prev_upperBand_ST_daily_sma5,state_prev_lowerBand_ST_daily_sma5,state_prev_direction_ST_daily_sma5,state_prev_hl2_ST_daily_sma5,state_prev_close_ST_daily_sma5,state_prev_atr_ST_daily_sma5,supertrend_ST_daily_sma20,direction_ST_daily_sma20,upperBand_ST_daily_sma20,lowerBand_ST_daily_sma20,dist_close_ST_daily_sma20,dist_avg_hl2_ST_daily_sma20,flatbase_ST_daily_sma20,state_prev_supertrend_ST_daily_sma20,state_prev_upperBand_ST_daily_sma20,state_prev_lowerBand_ST_daily_sma20,state_prev_direction_ST_daily_sma20,state_prev_hl2_ST_daily_sma20,state_prev_close_ST_daily_sma20,state_prev_atr_ST_daily_sma20,supertrend_ST_daily_hl2_20,direction_ST_daily_hl2_20,upperBand_ST_daily_hl2_20,lowerBand_ST_daily_hl2_20,dist_close_ST_daily_hl2_20,dist_avg_hl2_ST_daily_hl2_20,flatbase_ST_daily_hl2_20,state_prev_supertrend_ST_daily_hl2_20,state_prev_upperBand_ST_daily_hl2_20,state_prev_lowerBand_ST_daily_hl2_20,state_prev_direction_ST_daily_hl2_20,state_prev_hl2_ST_daily_hl2_20,state_prev_close_ST_daily_hl2_20,state_prev_atr_ST_daily_hl2_20,supertrend_ST_daily_hl2_5,direction_ST_daily_hl2_5,upperBand_ST_daily_hl2_5,lowerBand_ST_daily_hl2_5,dist_close_ST_daily_hl2_5,dist_avg_hl2_ST_daily_hl2_5,flatbase_ST_daily_hl2_5,state_prev_supertrend_ST_daily_hl2_5,state_prev_upperBand_ST_daily_hl2_5,state_prev_lowerBand_ST_daily_hl2_5,state_prev_direction_ST_daily_hl2_5,state_prev_hl2_ST_daily_hl2_5,state_prev_close_ST_daily_hl2_5,state_prev_atr_ST_daily_hl2_5
2024-11-12 00:00:00+05:30,306.0,307.95,300.0,300.8,3265,0,KILITCH,303.975,319.875,1.0,319.875,288.07500000000005,-5.9632669011332515,-4.9706916764361,303.975,0,,,,,,,,319.875,1.0,319.875,288.07500000000005,-5.9632669011332515,-4.9706916764361,0,,,,,,,,319.875,1.0,319.875,288.07500000000005,-5.9632669011332515,-4.9706916764361,0,,,,,,,,319.875,1.0,319.875,288.07500000000005,-5.9632669011332515,-4.9706916764361,0,,,,,,,
2024-11-13 00:00:00+05:30,310.0,358.4,310.0,329.0,286983,0,KILITCH,334.2,288.07500000000005,-1.0,319.875,288.07500000000005,14.206369868957719,10.765425670398308,319.0875,1,,,,,,,,298.2225,-1.0,319.875,298.2225,10.320314530258438,6.996453989890082,1,,,,,,,,313.33500000000004,-1.0,319.875,313.33500000000004,4.999441492332475,1.8358944899229068,1,,,,,,,,298.44,-1.0,319.875,298.44,10.239914220613858,6.918476075593078,1,,,,,,,
2024-11-14 00:00:00+05:30,336.95,345.0,325.3,334.05,60349,0,KILITCH,335.15,288.07500000000005,-1.0,360.92966666666666,288.07500000000005,15.959385576672727,12.624027307703415,324.44166666666666,2,,,,,,,,302.6499166666667,-1.0,346.23341666666664,302.6499166666667,10.37505104219699,7.2003158765118815,1,,,,,,,,313.35825,-1.0,356.94174999999996,313.35825,6.603224903126059,3.5369793731828234,2,,,,,,,,298.66200000000003,-1.0,371.6379999999999,298.66200000000003,11.84884585250215,8.631719692048746,2,,,,,,,
2024-11-18 00:00:00+05:30,340.65,344.05,304.0,312.65,24991,0,KILITCH,324.025,288.07500000000005,-1.0,360.92966666666666,288.07500000000005,8.530764557840815,14.94402499349126,331.125,3,,,,,,,,302.6499166666667,-1.0,346.23341666666664,302.6499166666667,3.304175148459469,9.408587865132398,2,,,,,,,,313.35825,-1.0,348.73216249999996,313.35825,-0.22601926070241357,5.669788492883146,3,,,,,,,,298.66200000000003,-1.0,369.23539999999997,298.66200000000003,4.683555323409052,10.869477871306012,3,,,,,,,
2024-11-19 00:00:00+05:30,319.8,324.9,311.0,313.55,14668,0,KILITCH,317.95,288.07500000000005,-1.0,360.92966666666666,288.07500000000005,8.84318319881974,13.063727617229285,325.7083333333333,4,,,,,,,,302.6499166666667,-1.0,346.23341666666664,302.6499166666667,3.6015484337101236,7.618841240938708,3,,,,,,,,313.35825,-1.0,342.81180437499995,313.35825,0.06119194244926157,3.9412025479888646,4,,,,,,,,298.66200000000003,-1.0,359.67832,298.66200000000003,4.984899317623258,9.055833461683534,4,,,,,,,
2024-11-21 00:00:00+05:30,314.75,319.35,303.2,306.1,13716,0,KILITCH,311.275,288.07500000000005,-1.0,360.92966666666666,288.07500000000005,6.257051115160974,10.301136856721303,317.74999999999994,5,,,,,,,,302.6499166666667,-1.0,346.23341666666664,302.6499166666667,1.1399584613575824,4.9892904315464355,4,,,,,,,,336.50871415624994,1.0,336.50871415624994,313.35825,-9.036530965474594,-5.5745106640952615,1,,,,,,,,298.66200000000003,-1.0,351.117656,298.66200000000003,2.490440698850201,6.391171290622813,5,,,,,,,
2024-11-22 00:00:00+05:30,307.35,316.9,304.2,310.05,7243,0,KILITCH,310.54999999999995,288.07500000000005,-1.0,356.74412479999995,288.07500000000005,7.628221817235081,8.741936417020991,313.25833333333327,6,,,,,,,,302.6499166666667,-1.0,344.8313141627232,302.6499166666667,2.4450967688465117,3.5051774616381306,5,,,,,,,,335.7920284484374,1.0,335.7920284484374,285.3079715515625,-7.666062999583749,-6.710610498773143,1,,,,,,,,298.66200000000003,-1.0,347.50412479999994,298.66200000000003,3.813006006790277,4.887241541720484,6,,,,,,,
2024-11-25 00:00:00+05:30,311.1,319.7,305.1,307.45,7091,0,KILITCH,312.4,288.07500000000005,-1.0,350.64329983999994,288.07500000000005,6.725679076629329,8.099742543897683,311.4083333333333,7,,,,,,,,302.6499166666667,-1.0,344.1305520260156,302.6499166666667,1.5860183892335356,2.8939101530673756,6,,,,,,,,335.7920284484374,1.0,335.7920284484374,286.9600729739844,-8.440351779461459,-7.261546745993806,2,,,,,,,,298.66200000000003,-1.0,347.50412479999994,298.66200000000003,2.942456690171482,4.267812220280205,7,,,,,,,
2024-11-26 00:00:00+05:30,312.85,312.85,300.0,307.55,15599,0,KILITCH,306.425,288.07500000000005,-1.0,345.18263987200004,288.07500000000005,6.760392258960328,7.538546096213359,309.7916666666667,8,,,,,,,,302.6499166666667,-1.0,342.7807084524926,302.6499166666667,1.6190598653725037,2.3597396221542,7,,,,,,,,331.87793067471483,1.0,331.87793067471483,286.9600729739844,-7.3303851886914035,-6.654936037218957,1,,,,,,,,298.66200000000003,-1.0,339.887639872,298.66200000000003,2.9759393561952896,3.7265091195621305,8,,,,,,,
2024-11-27 00:00:00+05:30,318.5,318.5,306.45,307.4,6422,0,KILITCH,312.475,288.07500000000005,-1.0,342.2151118976,288.07500000000005,6.70832248546383,7.761289016170542,310.43333333333334,9,,,,,,,,302.6499166666667,-1.0,342.2277841409791,302.6499166666667,1.5694976511640517,2.5717557607125237,8,,,,,,,,331.87793067471483,1.0,331.87793067471483,287.08971585902094,-7.375582529682136,-6.461591856314211,2,,,,,,,,298.66200000000003,-1.0,339.887639872,298.66200000000003,2.925715357159579,3.941356226548172,9,,,,,,,
